id	title	date	price	location	link
postid_7427084495	2012 Harley-Davidson XL1200V-Sportster Seventy Two*HOUSE OF THUNDER*	Dec 31	$9,500	 (morgan hill)	https://sfbay.craigslist.org/sby/mcd/d/morgan-hill-2012-harley-davidson/7427084495.html
postid_7427076281	2017 Harley-Davidson FXDLS-Dyna Low Rider S*HOUSE OF THUNDER*	Dec 31	$19,500	 (morgan hill)	https://sfbay.craigslist.org/sby/mcd/d/morgan-hill-2017-harley-davidson-fxdls/7427076281.html
postid_7427067651	2011 125 cc Yamaha Zuma	Dec 31	$2,200	 (mission district)	https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-cc-yamaha-zuma/7427067651.html
postid_7427057814	2009 Honda Rebel	Dec 31	$2,300	 ( north bay / marin )	https://sfbay.craigslist.org/nby/mcy/d/san-rafael-2009-honda-rebel/7427057814.html
postid_7427052565	2022 Kawasaki KX 450 ***NO ADM*****NO DEALER FEES******	Dec 31	$9,599	 (bayview)	https://sfbay.craigslist.org/sfc/mcd/d/chatsworth-2022-kawasaki-kx-450-no/7427052565.html
postid_7427023929	Hiboy S2 Pro Edition (NEW)	Dec 31	$575	 (danville / san ramon)	https://sfbay.craigslist.org/eby/mcy/d/dublin-hiboy-s2-pro-edition-new/7427023929.html
postid_7426942786	2018 ducati 797	Dec 30	$9,500	 (fremont / union city / newark)	https://sfbay.craigslist.org/eby/mcy/d/union-city-2018-ducati-797/7426942786.html
postid_7426937438	2009 Harley-Davidson Softail Cross Bones V Twin 1573.2 cc	Dec 30	$11,990	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2009-harley-davidson-softail/7426937438.html
postid_7426933656	Rare 2000 R1	Dec 30	$4,000	 (morgan hill)	https://sfbay.craigslist.org/sby/mcy/d/morgan-hill-rare-2000-r1/7426933656.html
postid_7426929743	2020 Harley-Davidson® Sportster Iron 883 V Twin 883 cc	Dec 30	$10,990	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2020-harley-davidson-sportster/7426929743.html
postid_7426921357	2007 Yamaha YZ450F	Dec 30	$3,250	 (dublin / pleasanton / livermore)	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-2007-yamaha-yz450f/7426921357.html
postid_7426917002	2016 Aprilia Caponord Rally	Dec 30	$8,800	 (San Luis Obispo south bay area )	https://sfbay.craigslist.org/sby/mcy/d/san-luis-obispo-2016-aprilia-caponord/7426917002.html
postid_7426907440	2008 Harley Davidson XL 1200 nightster	Dec 30	$6,400	 (Union city east bay area )	https://sfbay.craigslist.org/eby/mcy/d/union-city-2008-harley-davidson-xl-1200/7426907440.html
postid_7426906251	2002 BMW R1100S for sale	Dec 30	$3,900	 (san mateo)	https://sfbay.craigslist.org/pen/mcy/d/san-mateo-2002-bmw-r1100s-for-sale/7426906251.html
postid_7426906016	2018 KTM Duke 390	Dec 30	$4,700	 (san jose west)	https://sfbay.craigslist.org/sby/mcy/d/san-jose-2018-ktm-duke-390/7426906016.html
postid_7426903853	2003 Goldwing	Dec 30	$7,500	 (gilroy)	https://sfbay.craigslist.org/sby/mcy/d/gilroy-2003-goldwing/7426903853.html
postid_7426898129	2010 HONDA ST 1300	Dec 30	$3,499	 (dublin / pleasanton / livermore)	https://sfbay.craigslist.org/eby/mcy/d/livermore-2010-honda-st-1300/7426898129.html
postid_7426878779	2008 Harley Dyna Wide Glide 105th Anniversary Edition (FXDWG)	Dec 30	$5,999	 (oakland west)	https://sfbay.craigslist.org/eby/mcy/d/oakland-2008-harley-dyna-wide-glide/7426878779.html
postid_7426864100	2022 KTM 300 XC-W TPI Erzbergordeo [AVAILABLE NOW!] - The Motor Cafe	Dec 30	$12,399	 (campbell)	https://sfbay.craigslist.org/sby/mcd/d/campbell-2022-ktm-300-xc-tpi/7426864100.html
postid_7426860928	2014 Ninja 300 ABS Track bike	Dec 30	$4,100	 (richmond / point / annex)	https://sfbay.craigslist.org/eby/mcy/d/richmond-2014-ninja-300-abs-track-bike/7426860928.html
postid_7426839370	AUCTION - HARLEY HONDA SUZUKI BMW TRIUMPH KAWASAKI BSA NORTON	Dec 30	$0	 (Appleton city of san francisco )	https://sfbay.craigslist.org/sfc/mcd/d/appleton-auction-harley-honda-suzuki/7426839370.html
postid_7426836700	2017 kx 450f	Dec 30	$6,000	 (Penngrove north bay / marin )	https://sfbay.craigslist.org/nby/mcy/d/penngrove-2017-kx-450f/7426836700.html
postid_7426815871	2021 HONDA CBR1000RR-R FIREBLADE SP - RARE FIND!	Dec 30	$27,890	 (CLEARWATER east bay area )	https://sfbay.craigslist.org/eby/mcd/d/clearwater-2021-honda-cbr1000rr/7426815871.html
postid_7426808062	2020 Harley Davidson Touring Road Glide Special ONLY 664 MILES! NEW!	Dec 30	$31,990	 (rohnert pk / cotati)	https://sfbay.craigslist.org/nby/mcd/d/rohnert-park-2020-harley-davidson/7426808062.html
postid_7426807920	KLX110 2021	Dec 30	$4,000	 (Moraga east bay area )	https://sfbay.craigslist.org/eby/mcy/d/moraga-klx/7426807920.html
postid_7426796723	1997 fz600r yamaha	Dec 30	$2,500	 (mendocino county)	https://sfbay.craigslist.org/nby/mcy/d/ukiah-1997-fz600r-yamaha/7426796723.html
postid_7426795822	BMW R1200S	Dec 30	$7,900	 (oakland hills / mills)	https://sfbay.craigslist.org/eby/mcy/d/canyon-bmw-r1200s/7426795822.html
postid_7426792196	2006 Harley Davidson Road Glide	Dec 30	$12,000	 (pittsburg / antioch)	https://sfbay.craigslist.org/eby/mcy/d/pittsburg-2006-harley-davidson-road/7426792196.html
postid_7426787774	96 Harley Davidson Dyna WideGlide	Dec 30	$5,800	 (richmond / point / annex)	https://sfbay.craigslist.org/eby/mcy/d/pine-grove-96-harley-davidson-dyna/7426787774.html
postid_7426785420	2019 - 701 supermoto / intake / exhaust / dynojet	Dec 30	$10,000	 (Oakland east bay area )	https://sfbay.craigslist.org/eby/mcy/d/oakland-supermoto-intake-exhaust-dynojet/7426785420.html
postid_7426783733	2001 Softail Heritage	Dec 30	$7,500	 (alameda)	https://sfbay.craigslist.org/eby/mcy/d/alameda-2001-softail-heritage/7426783733.html
postid_7426783731	2013 KTM 690 Enduro R	Dec 30	$6,900	 (oakland piedmont / montclair)	https://sfbay.craigslist.org/eby/mcy/d/oakland-2013-ktm-690-enduro/7426783731.html
postid_7426777595	1979 Suzuki GS750	Dec 30	$3,900	 (pacific heights)	https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-1979-suzuki-gs750/7426777595.html
postid_7426770011	2017 CAN-AM MAVERICK X3 X RS 1000R TURBO R	Dec 30	$23,999	 ( east bay area )	https://sfbay.craigslist.org/eby/mcd/d/san-ramon-2017-can-am-maverick-x3-rs/7426770011.html
postid_7426769787	2007 Yamaha FJR 1300 Electric Shift	Dec 30	$5,999	 ( east bay area )	https://sfbay.craigslist.org/eby/mcd/d/san-ramon-2007-yamaha-fjr-1300-electric/7426769787.html
postid_7426769750	2017 Ducati Multistrada 950	Dec 30	$10,799	 ( east bay area )	https://sfbay.craigslist.org/eby/mcd/d/san-ramon-2017-ducati-multistrada-950/7426769750.html
